52001300;ESCOLA MUNICIPAL FLOR DA INFANCIA;SAO MIGUEL DO ARAGUAIA;RURAL;PUBLICA;76590-000;(62) 3977-7197;-13.27236;-49.87171
52001318;ESCOLA MUNICIPAL GERALDO FERREIRA BORBA;SAO MIGUEL DO ARAGUAIA;URBANA;PUBLICA;76590-000;(62) 3977-7148;-13.26580;-50.14873
52001326;ESC MUL LUIZ ALVES;SAO MIGUEL DO ARAGUAIA;RURAL;PUBLICA;76590-000;(62) 3382-3196;-13.21099;-50.58070
52001334;ESCOLA MUNICIPAL NOVA LOURDES;SAO MIGUEL DO ARAGUAIA;RURAL;PUBLICA;76590-000;(62) 3055-1018;-13.07943;-49.97546
52001350;ESCOLA MUNICIPAL PIRATININGA;SAO MIGUEL DO ARAGUAIA;RURAL;PUBLICA;76590-000;(62) 3977-7191;-12.81662;-50.33584
52001377;ESCOLA MUNICIPAL SANTA LUCIA;SAO MIGUEL DO ARAGUAIA;URBANA;PUBLICA;76590-000;(62) 3977-7137;-13.28567;-50.16115
52001407;COLEGIO SOL NASCENTE;SAO MIGUEL DO ARAGUAIA;URBANA;PRIVADA;76590-000;(62) 9901-5640;-13.28184;-50.17144
52001431;COLEGIO ESTADUAL JOSE PEREIRA LEANDRO;UIRAPURU;URBANA;PUBLICA;76525-000;(62) 3342-3225;-14.28668;-49.91952
52001466;ESC MUL MARIA EVANGELISTA DA ROSA;UIRAPURU;URBANA;PUBLICA;76525-000;(62) 8297-5590;-14.28375;-49.92178
52001571;COLEGIO ESTADUAL DARIO SAMPAIO DE PAIVA;ARAGUAPAZ;URBANA;PUBLICA;76720-000;(62) 3380-1447;-15.09128;-50.62696
52001580;CENTRO DE ENSINO EM PERIODO INTEGRAL BRASIL DE RAMOS CAIADO;ARAGUAPAZ;URBANA;PUBLICA;76720-000;(62) 3380-1341;-15.09202;-50.63502
52001687;ESCOLA MUNICIPAL PROF JOAO SOARES DE OLIVEIRA;ARAGUAPAZ;RURAL;PUBLICA;76720-000;(62) 9129-0574;-15.19808;-50.24978
52001725;ESCOLA MUNICIPAL FERRAZ DE LIMA;ARAGUAPAZ;RURAL;PUBLICA;76720-000;(62) 9395-3120;-15.24859;-50.50515
52001750;ESCOLA MUNICIPAL JANELINHA DO SABER;ARAGUAPAZ;URBANA;PUBLICA;76720-000;(62) 9432-5052;-15.09721;-50.63102
52001768;CENTRO DE ENSINO EM PERIODO INTEGRAL DOM CANDIDO PENSO;ARUANA;URBANA;PUBLICA;76710-000;(62) 8635-7333;-14.91790;-51.08247
52001814;ESC MUL DARCY BANDEIRA DE MELLO;ARUANA;URBANA;PUBLICA;76710-000;(62) 3376-1595;-14.93095;-51.08163
52001822;ESC MUL DR PEDRO LUDOVICO TEIXEIRA;ARUANA;URBANA;PUBLICA;76710-000;(62) 3376-1048;-14.89955;-51.07836
52001954;COLEGIO ESTADUAL ALFREDO NASSER;BRITANIA;URBANA;PUBLICA;76280-000;(62) 8446-2673;-15.24657;-51.16463
52001962;CENTRO MUNICIPAL DE EDUCACAO INFANTIL GABRIEL MARCHESI;BRITANIA;URBANA;PUBLICA;76280-000;(62) 8476-8845;-15.25695;-51.16919
52001970;ESCOLA ESTADUAL ADELINO BRAGA;BRITANIA;URBANA;PUBLICA;76280-000;(62) 8459-8966;;
52001989;ESCOLA ESTADUAL GOVERNADOR HENRIQUE SANTILLO;BRITANIA;URBANA;PUBLICA;76280-000;(62) 3383-1247;-15.23924;-51.16172
52002020;ESC MUL MARIA SESSA STAMATO;BRITANIA;RURAL;PUBLICA;76280-000;(62) 3383-1164;-15.02361;-51.30172
52002055;ESC MUL RURAL DE CICERLANDIA;BRITANIA;RURAL;PUBLICA;76280-000;;;
52002063;ESC MUL OLAVO BILAC;BRITANIA;RURAL;PUBLICA;76280-000;(62) 3383-1461;;
52002071;ESCOLA MUNICIPAL SANTA MARIA;BRITANIA;RURAL;PUBLICA;76280-000;;;
52002080;COLEGIO ESTADUAL LINDOLFO MENDES DA CUNHA;FAINA;URBANA;PUBLICA;76740-000;(62) 3386-1346;-15.44829;-50.36419
52002110;ESC MUL FRANCISCO ELIEZER CURADO;FAINA;RURAL;PUBLICA;76740-000;(62) 3386-1128;-15.35167;-50.25306
52002241;ESC MUL BRUNO FREIRE DE ANDRADE;FAINA;RURAL;PUBLICA;76740-000;(62) 3386-1574;-15.41261;-50.6214
52002403;ESCOLA MUNICIPAL JOAO FERREIRA AVELAR;FAINA;URBANA;PUBLICA;76740-000;(62) 3386-1574;-15.44375;-50.36773
52002446;ESC MUL SANTA RITA;FAINA;RURAL;PUBLICA;76740-000;(62) 3386-1475;;
52002497;ESC MUL VISTA BELA;FAINA;RURAL;PUBLICA;76740-000;(62) 3386-1128;-15.54977;-50.2887
